,Questions,Answers
3598,i've tried to quit so many times.,so has everyone else.
3599,so has everyone else.,nothing seems to work.
3600,nothing seems to work.,"all it takes is will power, and you have it."
3601,"all it takes is will power, and you have it.",then why can't i quit?
3602,then why can't i quit?,you have to believe in yourself.
3603,my back is killing me.,what did you do?
3604,what did you do?,i got out of my car.
3605,i got out of my car.,that's it?
3606,that's it?,i injured my back one time just by sneezing.
3607,i injured my back one time just by sneezing.,you should see a doctor.
3608,you should see a doctor.,my doctor said i need surgery.
3609,my doctor said i need surgery.,so?
3610,so?,"so, forget it."
3611,"so, forget it.",you don't have the money?
3612,you don't have the money?,i have no insurance.
3613,i have no insurance.,maybe a back rub would help.
3614,my brother smokes three packs a day.,three packs of what?
3615,three packs of what?,"cigarettes, of course."
3616,"cigarettes, of course.",how can he do that?
3617,how can he do that?,"when he is almost finished with one cigarette, he uses it to light another."
3618,"when he is almost finished with one cigarette, he uses it to light another.",he's a chain smoker.
3619,he's a chain smoker.,he's been a chain smoker for 30 years.
3620,he's been a chain smoker for 30 years.,that's unbelievable. can he still breathe?
3621,that's unbelievable. can he still breathe?,"he can, but the people around him can't."
3622,"he can, but the people around him can't.",how can he still be alive?
3623,how can he still be alive?,his doctor says his heart and lungs are strong and healthy.
3624,his doctor says his heart and lungs are strong and healthy.,maybe i should start smoking.
3625,i hate brushing my teeth.,it's such a chore.
3626,it's such a chore.,"brush, brush. spit, spit."
3627,"brush, brush. spit, spit.",what did they do in the old days?
3628,what did they do in the old days?,they brushed with their fingers.
3629,they brushed with their fingers.,they also ate with their fingers!
3630,they also ate with their fingers!,why do they call it the good old days?
3631,why do they call it the good old days?,maybe because they didn't have to brush and floss.
3632,maybe because they didn't have to brush and floss.,who invented flossing?
3633,who invented flossing?,"a dentist, i'm sure."
3634,"a dentist, i'm sure.",i hate flossing more than brushing!
3635,i hate flossing more than brushing!,i can't wait till all my teeth fall out.
3636,let's stop for a while. i need a break and some water.,this trail is hard to climb.
3637,this trail is hard to climb.,especially on a hot day like this.
3638,especially on a hot day like this.,i can't believe we haven't seen any animals.
3639,i can't believe we haven't seen any animals.,thank goodness! i don't want to see any wild animals.
3640,thank goodness! i don't want to see any wild animals.,all we've seen so far is a couple of lizards.
3641,all we've seen so far is a couple of lizards.,"we're hiking to lose weight, not to see goats and bears."
3642,"we're hiking to lose weight, not to see goats and bears.",i bet i've lost a couple of pounds already.
3643,i bet i've lost a couple of pounds already.,all you've lost is some sweat.
3644,all you've lost is some sweat.,i haven't even lost one pound of fat?
3645,i haven't even lost one pound of fat?,"if you want to lose fat, you've got to do this hike every day."
3646,"if you want to lose fat, you've got to do this hike every day.","okay, but let's hike in town. at least there are cats and dogs to see."
3647,"oh no, another pimple on my face.",pimples suck.
3648,pimples suck.,it seems like i get a new pimple almost every day.
3649,it seems like i get a new pimple almost every day.,maybe it's something in your diet.
3650,maybe it's something in your diet.,"no, i eat the same things day after day."
3651,"no, i eat the same things day after day.",then maybe it's in your genes.
3652,then maybe it's in your genes.,you might be right.
3653,you might be right.,do pimples run in your family?
3654,do pimples run in your family?,not that i've noticed.
3655,not that i've noticed.,"well, maybe it's from the pollution in the air."
3656,"well, maybe it's from the pollution in the air.","whatever the cause, i hate seeing them on my face."
3657,"whatever the cause, i hate seeing them on my face.","well, on the bright side, they're fun to pop."
3658,do you believe everything you hear?,i don't believe anything i don't see with my own eyes.
3659,i don't believe anything i don't see with my own eyes.,you can't believe what you hear on tv or radio.
3660,you can't believe what you hear on tv or radio.,you can't believe what you read in the newspapers.
3661,you can't believe what you read in the newspapers.,everyone tells you a different story about the same thing.
3662,everyone tells you a different story about the same thing.,three different people will give you three different stories.
3663,three different people will give you three different stories.,and the government will give you a fourth story.
3664,and the government will give you a fourth story.,"yes, like the government says not to worry about the swine flu."
3665,"yes, like the government says not to worry about the swine flu.",but the swine flu just killed 20 people in mexico.
3666,but the swine flu just killed 20 people in mexico.,the government says we have nothing to worry about.
3667,the government says we have nothing to worry about.,then why are some schools telling the kids to stay home?
3668,then why are some schools telling the kids to stay home?,"the government says to wash our hands frequently, and we'll all be okay."
3669,don't pick your nose.,i wasn't picking my nose.
3670,i wasn't picking my nose.,what were you doing?
3671,what were you doing?,i was scratching my nose.
3672,i was scratching my nose.,i think i know the difference between picking and scratching.
3673,i think i know the difference between picking and scratching.,"okay, mom, maybe i was picking it a little bit."
3674,"okay, mom, maybe i was picking it a little bit.",use a tissue next time.
3675,use a tissue next time.,i didn't have a tissue.
3676,i didn't have a tissue.,then wait till you find a tissue.
3677,then wait till you find a tissue.,i couldn't wait. it was an emergency.
3678,i couldn't wait. it was an emergency.,"oh, really? maybe you should have called 911."
3679,"oh, really? maybe you should have called 911.",it wasn't that kind of emergency.
3680,our tv remote is filthy.,"yes, it's covered with crud."
3681,"yes, it's covered with crud.",i'm going to clean it.
3682,i'm going to clean it.,don't use water on it!
3683,don't use water on it!,i'll use a damp cloth.
3684,i'll use a damp cloth.,don't let water get into any of the cracks.
3685,don't let water get into any of the cracks.,i'll squeeze the cloth so it's almost dry.
3686,i'll squeeze the cloth so it's almost dry.,don't rub the numbers off the remote.
3687,don't rub the numbers off the remote.,i will rub gently but firmly.
3688,i will rub gently but firmly.,"do it quickly, please, so i can change channels during commercials."
3689,"do it quickly, please, so i can change channels during commercials.",i'll give it back to you in a couple of minutes.
